Pool Id,Incentive Accumulator
1066,0.000000024578803748uosmo
1066,0.000000000612862366uosmo
1076,1.206688396059070575uosmo
1076,0.456857280081207615uosmo
1077,"0.249214248955770274ibc/57AA1A70A4BC9769C525EBF6386F7A21536E04A79D62E1981EFCEF9428EBB205,0.000115992369257811ibc/961E7EF7011001130D1539FDBFA5248D228BEB18880920B913D9FB0BB0726C9F,0.539143315929316583uosmo"
1077,0.009113357931073166uosmo
1077,0.563362835241191247ibc/961E7EF7011001130D1539FDBFA5248D228BEB18880920B913D9FB0BB0726C9F
1078,499.684682272996853382uosmo
1078,0.231457791182957219uosmo
1079,12.089281617407250201uosmo
1079,0.052071597786280713uosmo
1080,0.006205674901352487uosmo
1081,"0.000026761108919652ibc/57AA1A70A4BC9769C525EBF6386F7A21536E04A79D62E1981EFCEF9428EBB205,0.000049843233254212uosmo"
1088,0.010171065652601111uosmo
1089,0.087994702857378637uosmo
1090,0.231164826514260029uosmo
1091,0.000547421119451799uosmo
1092,0.000411211497773818uosmo
1093,0.022086274571294915uosmo
1094,0.014160650724344121uosmo
1095,0.013315809429823797uosmo
1096,0.001615377853842683uosmo
1097,0.005979054496728876uosmo
1098,0.017931846875396890uosmo
1099,0.001985624542918803uosmo
1100,0.221848340338717100uosmo
1101,"0.138435784286424980ibc/A0CC0CF735BFB30E730C70019D4218A1244FF383503FF7579C9201AB93CA9293,0.016131932986969827uosmo"
1102,0.064066477248411660uosmo
1103,0.012196390847035927uosmo
1104,0.016318993632123333uosmo
1105,0.019428605210016954uosmo
1106,0.005638045612155858uosmo
1107,"0.097796510856896469ibc/A8CA5EE328FA10C9519DF6057DA1F69682D28F7D0F5CCC7ECB72E3DCA2D157A4,0.082985930642715191uosmo"
1108,0.002539558295509629uosmo
1109,0.001708982541593944uosmo
1110,0.003670310115659088uosmo
1111,0.000218919144737295uosmo
1112,0.005017894077361557uosmo
1113,0.002389692715793173uosmo
1123,0.047114530539267034uosmo
1124,0.118669957286628048uosmo
1125,0.017354645382753293uosmo
1126,0.028466313100761878uosmo
1127,0.005024694658220764uosmo
1128,0.150654542606745377uosmo
1133,0.254882245651422374uosmo
1134,0.000029145846184618uosmo
1134,0.000000020814898121uosmo
1135,59279.104781842386407515uosmo
1135,0.000448322494674425uosmo
1136,"0.000018010573505698ibc/A8CA5EE328FA10C9519DF6057DA1F69682D28F7D0F5CCC7ECB72E3DCA2D157A4,0.010610003149940793uosmo"
1136,0.000234332451326495uosmo
1147,0
1148,0
1149,0
1150,0.000006725667050753uosmo
1150,0.000003129200232435uosmo
1154,0
1155,0
1156,0
1158,0.118743529071029380ibc/B1C1806A540B3E165A2D42222C59946FB85BA325596FC85662D7047649F419F3
1160,0
1165,0
1166,0
1168,0
1169,0
1171,0
1181,0
1182,0
1183,0
1184,0
1186,0
1192,0
1193,0
1194,0
1197,0
1198,0
1199,0
1200,0
1202,0
1203,0
1204,0
1208,0
1209,0
1213,1476241000000000.000000000000000000ibc/9BBA9A1C257E971E38C1422780CE6F0B0686F0A3085E2D61118D904BFE0F5F5E
1220,"0.000017585513213778ibc/57AA1A70A4BC9769C525EBF6386F7A21536E04A79D62E1981EFCEF9428EBB205,0.000030844455012388uosmo"
1220,0.000002122746257632uosmo
1221,0.045534710888696148uosmo
1221,0.001496431587869440uosmo
1223,0.000141858773301093uosmo
1223,0.002609938653817141uosmo
1227,"0.013119318502887748ibc/01D2F0C4739C871BFBEE7E786709E6904A55559DC1483DD92ED392EF12247862,0.000002086864062220uosmo"
1227,0.000003111919644500uosmo
1227,0.006530263883557053ibc/01D2F0C4739C871BFBEE7E786709E6904A55559DC1483DD92ED392EF12247862
1228,0.000000335778130670ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4
1243,161.143214526569384236ibc/D176154B0C63D1F9C6DCFB4F70349EBF2E2B5A87A05902F57A6AE92B863E9AEC
1246,0.000000140040702797uosmo
1247,0.196500832196642740uosmo
1247,0.019366715450823336uosmo
1248,0.043053744162139022uosmo
1248,0.001176707611840145uosmo
1251,0.006857282875133006uosmo
1251,0.005730463279351473uosmo
1260,598770180000000000.000000000000000000uosmo
1260,2859248813079907.498898501115439377uosmo
1261,0.000000014368997623uosmo
1261,0.000000000007540589uosmo
1263,0.160356927307080335uosmo
1263,0.011241232792150978uosmo
1264,0.000000285560294908uosmo
1264,0.000000022724954592uosmo
1265,0.071446720169759881uosmo
1265,0.001679696866519063uosmo
1268,0.000020125679806870factory/osmo1s794h9rxggytja3a4pmwul53u98k06zy2qtrdvjnfuxruh7s8yjs6cyxgd/umbrn
1272,0
1274,0.000404249264668273uosmo
1274,0.000006179693583341uosmo
1275,11990981000000000.000000000000000000uosmo
1275,113419671890272031.266109618052691299uosmo
1276,771868005936808562000000000.000000000000000000uosmo
1276,82400505818937024281169285.845887175445973567uosmo
1277,0.024201895963409601uosmo
1278,0.000005390802185968uosmo
1278,0.000027534692610483uosmo
1279,"0.000000272901338893ibc/57AA1A70A4BC9769C525EBF6386F7A21536E04A79D62E1981EFCEF9428EBB205,0.000002872207789002uosmo"
1279,0.000000475266989663uosmo
1280,"0.000001736473301609ibc/57AA1A70A4BC9769C525EBF6386F7A21536E04A79D62E1981EFCEF9428EBB205,0.000000243145978882uosmo"
1280,0.000576133330901225uosmo
1281,3338774015495231000000000.000000000000000000uosmo
1281,104966984464570497663.964069425725245521uosmo
1282,0.072403001547477453uosmo
1282,0.013535173130105823uosmo
1283,0.003851727305853041uosmo
1283,0.000081272650234213uosmo
1292,1518327939518486.456001493632264960uosmo
1293,0
1302,0.673462086539005425ibc/FE2CD1E6828EC0FAB8AF39BAC45BC25B965BA67CCBC50C13A14BD610B0D1E2C4
1314,0.005338742818784204ibc/1B708808D372E959CD4839C594960309283424C775F4A038AAEBE7F83A988477
1318,0.409699846486121586ibc/EDD6F0D66BCD49C1084FB2C35353B4ACD7B9191117CE63671B61320548F7C89D
1321,130.544418798234162797uosmo
1321,0.005623687078815950uosmo
1322,0.763684725166100774uosmo
1322,0.011164750744189085uosmo
1323,701968353158.882749417719172926ibc/8061A06D3BD4D52C4A28FFECF7150D370393AF0BA661C3776C54FF32836C3961
1323,16275602.055043801918598826ibc/8061A06D3BD4D52C4A28FFECF7150D370393AF0BA661C3776C54FF32836C3961
1325,0.104028916460258288factory/osmo1mlng7pz4pnyxtpq0akfwall37czyk9lukaucsrn30ameplhhshtqdvfm5c/ulvn
1325,0.120784460001367021factory/osmo1mlng7pz4pnyxtpq0akfwall37czyk9lukaucsrn30ameplhhshtqdvfm5c/ulvn
1335,0.000262664220202985uosmo
1335,0.000157940038253215uosmo
1336,0
1337,0.085006183881906416factory/osmo1mlng7pz4pnyxtpq0akfwall37czyk9lukaucsrn30ameplhhshtqdvfm5c/ulvn
1337,0.482894993750205555factory/osmo1mlng7pz4pnyxtpq0akfwall37czyk9lukaucsrn30ameplhhshtqdvfm5c/ulvn
1347,0.027802659861235470uosmo
1347,0.012533401468919801uosmo
1348,0.006428421792638100uosmo
1348,0.012084504172875868uosmo
1372,0.026574571487236194ibc/9BBA9A1C257E971E38C1422780CE6F0B0686F0A3085E2D61118D904BFE0F5F5E
1376,0
1379,0
1397,0.000000633715743045ibc/A8CA5EE328FA10C9519DF6057DA1F69682D28F7D0F5CCC7ECB72E3DCA2D157A4
1399,0.018404466706359886uosmo
1399,0.006176987113028685uosmo
1400,0.016260565697796176uosmo
1400,0.004964664847733279uosmo
1409,0
1419,0
1422,0.204313239232595006uosmo
1422,0.000720772065071077uosmo
1423,1644932044913.015001873189053411ibc/A8CA5EE328FA10C9519DF6057DA1F69682D28F7D0F5CCC7ECB72E3DCA2D157A4
1423,2672217783357.995924108110781335ibc/A8CA5EE328FA10C9519DF6057DA1F69682D28F7D0F5CCC7ECB72E3DCA2D157A4
1428,"0.000069298850324324ibc/A8CA5EE328FA10C9519DF6057DA1F69682D28F7D0F5CCC7ECB72E3DCA2D157A4,0.000050690466312434uosmo"
1428,0.000148683765349379uosmo
1430,0.311397926473589810uosmo
1431,45417626062.706978362560299929uosmo
1431,18553326312.803158398459815207uosmo
1431,228226492027039.112151341537181998ibc/903A61A498756EA560B85A85132D3AEE21B5DEDD41213725D22ABF276EA6945E
1431,978410054584.853919294312499285ibc/903A61A498756EA560B85A85132D3AEE21B5DEDD41213725D22ABF276EA6945E
1432,0.828361155223103450uosmo
1432,0.080586871293824096uosmo
1433,1.340461230744349063uosmo
1433,2060.181113303472873077uosmo
1434,0.253725856991588922uosmo
1434,0.160080229325791842uosmo
1435,0.063357108134222988uosmo
1435,0.006247162919807840uosmo
1436,0.129945789458798248uosmo
1436,0.012454221847581530uosmo
1437,1.452024069271179163uosmo
1437,0.019707331481372397uosmo
1438,0.042014375995701935uosmo
1438,0.018287727650997486uosmo
1439,0.259845433930155821uosmo
1439,1.374830646941406127uosmo
1440,0.000004226663964953uosmo
1440,0.000000246003879214uosmo
1441,0.000003314474191255uosmo
1441,0.000000370757224824uosmo
1464,0.034865244723023271uosmo
1464,0.014345519899246574uosmo
1465,0.001131533364030831uosmo
1465,0.002206584138156946uosmo
1475,0.000749265355486642uosmo
1475,0.000897451637121774uosmo
1476,0.002087644