Pool Id,RecordNumner,RemainingCoins,EmissionRate,MinUptime
1066,0,1210820.164179924392091898uosmo,37.525057870370370370,1m0s
1076,0,0.027367171332260624uosmo,0.030694444444444444,1m0s
1076,1,41241.000000000000000000uosmo,0.477326388888888888,1m0s
1077,0,787020.474328250217267497uosmo,3710.668298611111111111,1m0s
1077,1,24548228.336921296296361119ibc/961E7EF7011001130D1539FDBFA5248D228BEB18880920B913D9FB0BB0726C9F,115740.740740740740740740,24h0m0s
1077,2,8235137225.083333333333333386ibc/961E7EF7011001130D1539FDBFA5248D228BEB18880920B913D9FB0BB0726C9F,27777777.777777777777777777,24h0m0s
1077,3,8291007083.888888888888888939ibc/961E7EF7011001130D1539FDBFA5248D228BEB18880920B913D9FB0BB0726C9F,27777777.777777777777777777,24h0m0s
1077,4,8539534729.111111111111111154ibc/961E7EF7011001130D1539FDBFA5248D228BEB18880920B913D9FB0BB0726C9F,27777777.777777777777777777,24h0m0s
1077,5,8785777567.361111111111111147ibc/961E7EF7011001130D1539FDBFA5248D228BEB18880920B913D9FB0BB0726C9F,27777777.777777777777777777,24h0m0s
1077,6,9028557375.194444444444444473ibc/961E7EF7011001130D1539FDBFA5248D228BEB18880920B913D9FB0BB0726C9F,27777777.777777777777777777,24h0m0s
1077,7,9279766408.194444444444444465ibc/961E7EF7011001130D1539FDBFA5248D228BEB18880920B913D9FB0BB0726C9F,27777777.777777777777777777,24h0m0s
1077,8,10000000000.000000000000000000ibc/961E7EF7011001130D1539FDBFA5248D228BEB18880920B913D9FB0BB0726C9F,27777777.777777777777777777,24h0m0s
1078,0,210692.904567984549062500uosmo,5.402187500000000000,1m0s
1079,0,2213.978351293675669098uosmo,0.047627314814814814,1m0s
1080,-1,No remaining coins,No emission rate,No uptime
1081,-1,No remaining coins,No emission rate,No uptime
1088,-1,No remaining coins,No emission rate,No uptime
1089,-1,No remaining coins,No emission rate,No uptime
1090,-1,No remaining coins,No emission rate,No uptime
1091,-1,No remaining coins,No emission rate,No uptime
1092,-1,No remaining coins,No emission rate,No uptime
1093,-1,No remaining coins,No emission rate,No uptime
1094,-1,No remaining coins,No emission rate,No uptime
1095,-1,No remaining coins,No emission rate,No uptime
1096,-1,No remaining coins,No emission rate,No uptime
1097,-1,No remaining coins,No emission rate,No uptime
1098,-1,No remaining coins,No emission rate,No uptime
1099,-1,No remaining coins,No emission rate,No uptime
1100,-1,No remaining coins,No emission rate,No uptime
1101,-1,No remaining coins,No emission rate,No uptime
1102,-1,No remaining coins,No emission rate,No uptime
1103,-1,No remaining coins,No emission rate,No uptime
1104,-1,No remaining coins,No emission rate,No uptime
1105,-1,No remaining coins,No emission rate,No uptime
1106,-1,No remaining coins,No emission rate,No uptime
1107,-1,No remaining coins,No emission rate,No uptime
1108,-1,No remaining coins,No emission rate,No uptime
1109,-1,No remaining coins,No emission rate,No uptime
1110,-1,No remaining coins,No emission rate,No uptime
1111,-1,No remaining coins,No emission rate,No uptime
1112,-1,No remaining coins,No emission rate,No uptime
1113,-1,No remaining coins,No emission rate,No uptime
1114,-1,No remaining coins,No emission rate,No uptime
1115,-1,No remaining coins,No emission rate,No uptime
1116,-1,No remaining coins,No emission rate,No uptime
1117,-1,No remaining coins,No emission rate,No uptime
1123,-1,No remaining coins,No emission rate,No uptime
1124,-1,No remaining coins,No emission rate,No uptime
1125,-1,No remaining coins,No emission rate,No uptime
1126,-1,No remaining coins,No emission rate,No uptime
1127,-1,No remaining coins,No emission rate,No uptime
1128,-1,No remaining coins,No emission rate,No uptime
1129,-1,No remaining coins,No emission rate,No uptime
1130,-1,No remaining coins,No emission rate,No uptime
1131,-1,No remaining coins,No emission rate,No uptime
1133,-1,No remaining coins,No emission rate,No uptime
1134,0,89836770.905836179439551230uosmo,3692.092349537037037037,1m0s
1135,0,26800363.606592116734392884uosmo,796.516145833333333333,1m0s
1136,0,13700580.123771247342928629uosmo,419.945347222222222222,1m0s
1144,-1,No remaining coins,No emission rate,No uptime
1145,-1,No remaining coins,No emission rate,No uptime
1146,-1,No remaining coins,No emission rate,No uptime
1147,-1,No remaining coins,No emission rate,No uptime
1148,-1,No remaining coins,No emission rate,No uptime
1149,-1,No remaining coins,No emission rate,No uptime
1150,0,48382.635721092444444525uosmo,111116.222222222222222222,1m0s
1150,1,40001840.000000000000000000uosmo,111116.222222222222222222,1m0s
1151,-1,No remaining coins,No emission rate,No uptime
1152,-1,No remaining coins,No emission rate,No uptime
1153,-1,No remaining coins,No emission rate,No uptime
1154,-1,No remaining coins,No emission rate,No uptime
1155,-1,No remaining coins,No emission rate,No uptime
1156,-1,No remaining coins,No emission rate,No uptime
1157,-1,No remaining coins,No emission rate,No uptime
1158,-1,No remaining coins,No emission rate,No uptime
1159,-1,No remaining coins,No emission rate,No uptime
1160,-1,No remaining coins,No emission rate,No uptime
1161,-1,No remaining coins,No emission rate,No uptime
1162,-1,No remaining coins,No emission rate,No uptime
1163,-1,No remaining coins,No emission rate,No uptime
1164,-1,No remaining coins,No emission rate,No uptime
1165,-1,No remaining coins,No emission rate,No uptime
1166,-1,No remaining coins,No emission rate,No uptime
1167,-1,No remaining coins,No emission rate,No uptime
1168,-1,No remaining coins,No emission rate,No uptime
1169,-1,No remaining coins,No emission rate,No uptime
1170,-1,No remaining coins,No emission rate,No uptime
1171,-1,No remaining coins,No emission rate,No uptime
1172,-1,No remaining coins,No emission rate,No uptime
1181,-1,No remaining coins,No emission rate,No uptime
1182,-1,No remaining coins,No emission rate,No uptime
1183,-1,No remaining coins,No emission rate,No uptime
1184,-1,No remaining coins,No emission rate,No uptime
1185,-1,No remaining coins,No emission rate,No uptime
1186,-1,No remaining coins,No emission rate,No uptime
1187,-1,No remaining coins,No emission rate,No uptime
1188,-1,No remaining coins,No emission rate,No uptime
1189,-1,No remaining coins,No emission rate,No uptime
1190,-1,No remaining coins,No emission rate,No uptime
1191,-1,No remaining coins,No emission rate,No uptime
1192,-1,No remaining coins,No emission rate,No uptime
1193,-1,No remaining coins,No emission rate,No uptime
1194,-1,No remaining coins,No emission rate,No uptime
1195,-1,No remaining coins,No emission rate,No uptime
1196,-1,No remaining coins,No emission rate,No uptime
1197,-1,No remaining coins,No emission rate,No uptime
1198,-1,No remaining coins,No emission rate,No uptime
1199,-1,No remaining coins,No emission rate,No uptime
1200,-1,No remaining coins,No emission rate,No uptime
1201,-1,No remaining coins,No emission rate,No uptime
1202,-1,No remaining coins,No emission rate,No uptime
1203,-1,No remaining coins,No emission rate,No uptime
1204,-1,No remaining coins,No emission rate,No uptime
1205,-1,No remaining coins,No emission rate,No uptime
1206,-1,No remaining coins,No emission rate,No uptime
1207,-1,No remaining coins,No emission rate,No uptime
1208,-1,No remaining coins,No emission rate,No uptime
1209,-1,No remaining coins,No emission rate,No uptime
1213,-1,No remaining coins,No emission rate,No uptime
1214,-1,No remaining coins,No emission rate,No uptime
1215,-1,No remaining coins,No emission rate,No uptime
1216,-1,No remaining coins,No emission rate,No uptime
1220,0,31769221.027444992647134199uosmo,952.154178240740740740,1m0s
1221,0,33455886.840914295866021927uosmo,1038.429606481481481481,1m0s
1223,0,48382.635721092444444525uosmo,111116.222222222222222222,1m0s
1223,1,40001840.000000000000000000uosmo,111116.222222222222222222,1m0s
1224,-1,No remaining coins,No emission rate,No uptime
1227,0,1372998.229111429688521620uosmo,84.678078703703703703,1m0s
1227,1,125110563.509268244686324650ibc/01D2F0C4739C871BFBEE7E786709E6904A55559DC1483DD92ED392EF12247862,7716.049386574074074074,336h0m0s
1227,2,394304006.726781632894444563ibc/01D2F0C4739C871BFBEE7E786709E6904A55559DC1483DD92ED392EF12247862,1851851.852777777777777777,336h0m0s
1227,3,423611209.898842641880555661ibc/01D2F0C4739C871BFBEE7E786709E6904A55559DC1483DD92ED392EF12247862,1851851.852777777777777777,336h0m0s
1227,4,453298211.054426883191666759ibc/01D2F0C4739C871BFBEE7E786709E6904A55559DC1483DD92ED392EF12247862,1851851.852777777777777777,336h0m0s
1227,5,484626782.101572650188888968ibc/01D2F0C4739C871BFBEE7E786709E6904A55559DC1483DD92ED392EF12247862,1851851.852777777777777777,336h0m0s
1227,6,517148733.547463255533333398ibc/01D2F0C4739C871BFBEE7E786709E6904A55559DC1483DD92ED392EF12247862,1851851.852777777777777777,336h0m0s
1227,7,547900769.066542976988888940ibc/01D2F0C4739C871BFBEE7E786709E6904A55559DC1483DD92ED392EF12247862,1851851.852777777777777777,336h0m0s
1227,8,579093756.022880211200000038ibc/01D2F0C4739C871BFBEE7E786709E6904A55559DC1483DD92ED392EF12247862,1851851.852777777777777777,336h0m0s
1227,9,608063407.474402073955555581ibc/01D2F0C4739C871BFBEE7E786709E6904A55559DC1483DD92ED392EF12247862,1851851.852777777777777777,336h0m0s
1227,10,637209223.898234241419444457ibc/01D2F0C4739C871BFBEE7E786709E6904A55559DC1483DD92ED392EF12247862,1851851.852777777777777777,336h0m0s
1227,11,666666667.000000000000000000ibc/01D2F0C4739C871BFBEE7E786709E6904A55559DC1483DD92ED392EF12247862,1851851.852777777777777777,336h0m0s
1228,0,9.449969900953174319ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,0.000578703703703703,1ns
1228,1,45.575434677638888918ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,0.138888888888888888,1ns
1228,2,47.773474914444444459ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,0.138888888888888888,1ns
1228,3,50.000000000000000000ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,0.138888888888888888,1ns
1230,-1,No remaining coins,No emission rate,No uptime
1243,-1,No remaining coins,No emission rate,No uptime
1245,-1,No remaining coins,No emission rate,No uptime
1246,-1,No remaining coins,No emission rate,No uptime
1247,0,128299386.618193518921277778uosmo,3982.255266203703703703,1m0s
1248,0,112783180.265860339690284645uosmo,3497.585173611111111111,1m0s
1251,0,187356960.294770685335300661uosmo,5814.670532407407407407,1m0s
1252,-1,No remaining coins,No emission rate,No uptime
1253,-1,No remaining coins,No emission rate,No uptime
1258,-1,No remaining coins,No emission rate,No uptime
1259,-1,No remaining coins,No emission rate,No uptime
1260,0,394011.969933503512818251uosmo,11.464652777777777777,1m0s
1261,0,408782.193592130011049161uosmo,7.760347222222222222,1m0s
1262,-1,No remaining coins,No emission rate,No uptime
1263,0,664483875.122048294147521877uosmo,27308.815833333333333333,1m0s
1264,0,68503007.405597240519181301uosmo,2122.198009259259259259,1m0s
1265,0,90728838.657573526493397049uosmo,2762.111400462962962962,1m0s
1267,-1,No remaining coins,No emission rate,No uptime
1268,-1,No remaining coins,No emission rate,No uptime
1271,-1,No remaining coins,No emission rate,No uptime
1272,-1,No remaining coins,No emission rate,No uptime
1273,-1,No remaining coins,No emission rate,No uptime
1274,0,19347.872968395714743971uosmo,0.510300925925925925,1m0s
1275,0,13016.568909027863005161uosmo,0.376064814814814814,1m0s
1276,0,102.620575903241598286uosmo,0.001400462962962962,1m0s
1277,-1,No remaining coins,No emission rate,No uptime
1278,0,12260115.573940965861153997uosmo,380.098402777777777777,1m0s
1279,0,2217271.672865641214888294uosmo,67.675949074074074074,1m0s
1280,0,117.764427603307399744uosmo,0.001608796296296296,1ns
1280,1,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,2,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,3,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,4,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,5,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,6,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,7,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,8,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,9,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,10,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,11,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,12,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,13,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,14,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,15,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,16,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,17,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,18,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,19,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,20,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,21,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,22,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,23,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,24,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,25,139.000000000000000000uosmo,0.001608796296296296,1ns
1280,26,422.000000000000000000uosmo,0.004884259259259259,1ns
1280,27,422.000000000000000000uosmo,0.004884259259259259,1ns
1280,28,422.000000000000000000uosmo,0.004884259259259259,1ns
1280,29,422.000000000000000000uosmo,0.004884259259259259,1ns
1280,30,422.000000000000000000uosmo,0.004884259259259259,1ns
1280,31,422.000000000000000000uosmo,0.004884259259259259,1ns
1280,32,422.000000000000000000uosmo,0.004884259259259259,1ns
1280,33,422.000000000000000000uosmo,0.004884259259259259,1ns
1280,34,422.000000000000000000uosmo,0.004884259259259259,1ns
1280,35,422.000000000000000000uosmo,0.004884259259259259,1ns
1280,36,422.000000000000000000uosmo,0.004884259259259259,1ns
1280,37,422.000000000000000000uosmo,0.004884259259259259,1ns
1280,38,4618439.000000000000000000uosmo,53.454155092592592592,1m0s
1280,39,4618439.000000000000000000uosmo,53.454155092592592592,1m0s
1280,40,4618439.000000000000000000uosmo,53.454155092592592592,1m0s
1280,41,4618439.000000000000000000uosmo,53.454155092592592592,1m0s
1280,42,4618439.000000000000000000uosmo,53.454155092592592592,1m0s
1280,43,422.000000000000000000uosmo,0.004884259259259259,1m0s
1280,44,422.000000000000000000uosmo,0.004884259259259259,1m0s
1280,45,422.000000000000000000uosmo,0.004884259259259259,1m0s
1280,46,422.000000000000000000uosmo,0.004884259259259259,1m0s
1280,47,422.000000000000000000uosmo,0.004884259259259259,1m0s
1280,48,422.000000000000000000uosmo,0.004884259259259259,1m0s
1280,49,422.000000000000000000uosmo,0.004884259259259259,1m0s
1280,50,422.000000000000000000uosmo,0.004884259259259259,1m0s
1280,51,422.000000000000000000uosmo,0.004884259259259259,1m0s
1280,52,422.000000000000000000uosmo,0.004884259259259259,1m0s
1280,53,422.000000000000000000uosmo,0.004884259259259259,1m0s
1280,54,422.000000000000000000uosmo,0.004884259259259259,1m0s
1280,55,422.000000000000000000uosmo,0.004884259259259259,1m0s
1280,56,422.000000000000000000uosmo,0.004884259259259259,1m0s
1280,57,422.000000000000000000uosmo,0.004884259259259259,1m0s
1280,58,4618439.000000000000000000uosmo,53.454155092592592592,1m0s
1280,59,4618439.000000000000000000uosmo,53.454155092592592592,1m0s
1281,0,166838579.147271162518750000uosmo,5087.018750000000000000,1m0s
1282,0,109933590.253643157644286617uosmo,3410.178043981481481481,1m0s
1283,0,20482172.758143078350255191uosmo,607.112013888888888888,1m0s
1292,0,1921.771361821291789856uosmo,0.033321759259259259,1ns
1292,1,2879.000000000000000000uosmo,0.033321759259259259,1ns
1292,2,877.000000000000000000uosmo,0.010150462962962962,1m0s
1292,3,877.000000000000000000uosmo,0.010150462962962962,1m0s
1292,4,877.000000000000000000uosmo,0.010150462962962962,1m0s
1292,5,877.000000000000000000uosmo,0.010150462962962962,1m0s
1292,6,877.000000000000000000uosmo,0.010150462962962962,1m0s
1292,7,877.000000000000000000uosmo,0.010150462962962962,1m0s
1292,8,877.000000000000000000uosmo,0.010150462962962962,1m0s
1292,9,877.000000000000000000uosmo,0.010150462962962962,1m0s
1292,10,877.000000000000000000uosmo,0.010150462962962962,1m0s
1292,11,2879.000000000000000000uosmo,0.033321759259259259,1m0s
1292,12,2879.000000000000000000uosmo,0.033321759259259259,1m0s
1292,13,2879.000000000000000000uosmo,0.033321759259259259,1m0s
1292,14,2879.000000000000000000uosmo,0.033321759259259259,1m0s
1292,15,2879.000000000000000000uosmo,0.033321759259259259,1m0s
1292,16,2879.000000000000000000uosmo,0.033321759259259259,1m0s
1292,17,2879.000000000000000000uosmo,0.033321759259259259,1m0s
1292,18,2879.000000000000000000uosmo,0.033321759259259259,1m0s
1292,19,2879.000000000000000000uosmo,0.033321759259259259,1m0s
1292,20,2879.000000000000000000uosmo,0.033321759259259259,1m0s
1292,21,2879.000000000000000000uosmo,0.033321759259259259,1m0s
1292,22,2879.000000000000000000uosmo,0.033321759259259259,1m0s
1292,23,2879.000000000000000000uosmo,0.033321759259259259,1m0s
1292,24,2879.000000000000000000uosmo,0.033321759259259259,1m0s
1292,25,2879.000000000000000000uosmo,0.033321759259259259,1m0s
1292,26,877.000000000000000000uosmo,0.010150462962962962,1m0s
1292,27,877.000000000000000000uosmo,0.010150462962962962,1m0s
1293,-1,No remaining coins,No emission rate,No uptime
1294,-1,No remaining coins,No emission rate,No uptime
1297,-1,No remaining coins,No emission rate,No uptime
1298,-1,No remaining coins,No emission rate,No uptime
1299,-1,No remaining coins,No emission rate,No uptime
1301,-1,No remaining coins,No emission rate,No uptime
1302,-1,No remaining coins,No emission rate,No uptime
1303,-1,No remaining coins,No emission rate,No uptime
1304,-1,No remaining coins,No emission rate,No uptime
1305,-1,No remaining coins,No emission rate,No uptime
1312,-1,No remaining coins,No emission rate,No uptime
1314,-1,No remaining coins,No emission rate,No uptime
1315,-1,No remaining coins,No emission rate,No uptime
1316,-1,No remaining coins,No emission rate,No uptime
